srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres
Rohtas,251.0,44.0,1.0
Ropar,67.0,1.0,5.0
Rudraprayag,204.0,16.0,2.0
Sabarkantha,195.0,32.0,10.0
Sagar,59.0,0.0,3.0
Saharanpur,185.0,22.0,4.0
Saharsa,169.0,32.0,8.0
Sahibganj,350.0,30.0,17.0
Saiha District,13.51981292,2.54618613,0.394441134
Salem,126.0,0.0,2.0
Samastipur,355.0,65.0,9.0
Samba,80.0,12.0,3.0
Sambalpur,208.0,29.0,6.0
Sambhal,133.0,6.0,7.0
Sangareddy,0.0,0.0,0.0
Sangli,279.0,96.0,5.0
Sangrur,182.99999997,7.0,8.0
Sant Kabir Nagar,161.0,8.0,5.0
Sant Ravidas Nagar,296.0,37.0,16.0
Saraikela,196.0,20.0,16.0
Saran,412.0,58.0,1.0
Satara,199.0,48.0,2.0
Satna,553.0,37.0,21.0
Sawai Madhopur,631.0,96.0,30.0
Sehore,155.0,13.0,9.0
Senapati,23.0,6.0,1.0
Seoni,184.0,16.0,9.0
Sepahijala District,32.0,8.0,3.0
Serchhip District,120.25796455,12.030751438,1.552103679
Shahdara,25.0,33.0,0.0
Shahdol,226.0,32.0,10.0
Shahjahanpur,92.0,4.0,6.0
Shajapur,418.0,32.0,17.0
Shamli,176.0,7.0,4.0
Sheikhpura,85.0,19.0,0.0
Sheohar,91.0,5.0,5.0
Sheopur,276.0,25.0,15.0
Shimla,149.0,44.0,6.0
Shimoga,182.0,20.0,9.0
Shivpuri,261.0,27.0,12.0
Shopian,60.0,10.0,2.0
Shrawasti,261.0,55.0,8.0
Siang,20.0,4.0,2.0
Sibsagar,650.0,16.0,26.0
Siddharth Nagar,447.0,65.0,18.0
Siddipet,0.0,0.0,0.0
Sidhi,150.0,13.0,4.0
Sikar,221.0,30.0,9.0
Simdega,304.0,6.0,16.0
Sindhudurg,620.0,148.0,16.0
Singroli,319.0,47.0,13.0
Sirmaur,253.0,121.0,17.0
Sirohi,290.0,58.0,9.0
Sirsa,139.0,8.0,8.0
Sitamarhi,204.0,49.0,9.0
Sitapur,173.0,26.0,7.0
Sivaganga,241.0,0.0,5.0
Siwan,375.0,55.0,2.0
Solan,175.0,41.0,6.0
Solapur,293.0,73.0,11.0
Sonapur,184.0,15.0,6.0
Sonbhadra,238.0,19.0,13.0
Sonipat,152.0,10.0,8.0
Sonitpur,1238.0,112.0,40.0
South,55.0,41.0,0.0
South 24-Parganas,101.0,2.0,8.0
South Andman,89.0,0.0,2.0
South District,31.0,7.0,1.0
South East,12.0,49.0,0.0
South Garo Hills,27.0,9.0,1.0
South Goa,278.0,25.0,9.0
South West,36.0,42.0,0.0
South West Garo Hills,138.3394912,18.79612653,4.511070366
South West Khasi Hills,77.88999787,14.97884574,3.994358865
Srikakulam,176.0,49.0,9.0
Srinagar,59.0,40.0,1.0
Sukma,475.0,49.0,15.0
Sultanpur,337.0,39.0,7.0
Sundargarh,181.0,27.0,6.0
Supaul,178.0,23.0,2.0
Surajpur,157.0,16.0,6.0
Surat,13.0,3.0,3.0
Surendranagar,426.0,88.0,18.0
Surguja,176.0,13.0,6.0
Suryapet,0.0,0.0,0.0
Tamenglong,18.0,6.0,1.0
Tapi,219.0,30.0,10.0
Tarn Taran,142.0,3.0,11.0
Tawang,3.0,4.0,1.0
Tehri Garhwal,68.0,29.0,5.0
Tengnoupal,34.59578485,6.450061582,1.17273847
Thane,275.0,58.0,8.0
Thanjavur,216.0,0.0,13.0
The Nilgiris,575.3577316000001,36.89379319,14.09134597
Theni,386.8629605,16.7666591,13.096966947
Thiruppur,521.1766843,47.03414554,16.882449932999997
Thiruvallur,516.0,53.0,17.0
Thiruvanathapuram,171.7099015,2.160143768,7.97566281
Thiruvarur,102.0,0.0,2.0
Thoothukudi,299.0,0.0,7.0
