srcStateName,srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres,Functional Health and Wellness Centres-Sub Centres,Functional Health and Wellness Centres-Primary Health Centres,Functional Sub Divisional Hospitals,Functional District Hospitals,srcYear,YearCode,Year,Country,StateCode,StateName,DistrictCode
Jharkhand,Latehar,94,4,6,3,5,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,134
Jharkhand,Lohardaga,67,9,4,7,4,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,135
Jharkhand,Pakaur,116,9,5,5,2,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,136
Jharkhand,Palamu,169,22,7,2,1,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,137
Jharkhand,Pashchimi Singhbhum,332,9,13,11,6,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,138
Gujarat,Navsari,274,25,12,22,25,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,139
Gujarat,Panchmahal,282,31,13,18,23,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,140
Gujarat,Patan,298,25,15,28,30,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,141
Gujarat,Porbandar,79,7,4,6,8,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,142
Gujarat,Rajkot,319,47,13,25,35,4,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,143
Gujarat,Sabarkantha,245,16,13,36,33,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,144
Gujarat,Surat,293,55,21,65,48,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,145
Gujarat,Surendranagar,342,46,12,10,10,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,146
Gujarat,Tapi,230,28,8,11,11,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,147
Gujarat,Vadodara,219,46,10,23,31,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,148
Gujarat,Valsad,339,31,10,24,27,2,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,149
Haryana,Ambala,94,0,4,10,20,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,150
Haryana,Bhiwani,139,26,6,0,0,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,151
Haryana,Ch-Dadri,75,12,3,0,0,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,152
Haryana,Faridabad,93,2,8,0,23,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,153
Haryana,Fatehabad,131,22,4,0,0,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,154
Haryana,Gurugram,73,3,3,7,25,2,2,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,155
Haryana,Hisar,189,7,10,9,24,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,156
Haryana,Jind,160,24,7,1,0,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,157
Haryana,Jhajjar,131,8,6,3,21,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,158
Haryana,Karnal,137,6,6,10,18,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,159
